tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086000226,0.5730578674830754,0.58197,-0.008912108942095487,Critical
12086000215,0.3752124280901769,0.372711,0.0025014252634862344,Low
12086000216,0.3026834080220153,0.33626717,-0.033583765268237364,Low
12086000227,0.6229016059902527,0.5753622,0.04753940048488159,High
12086000218,0.4238898309619422,0.42714825,-0.0032584217636589807,Moderate
12086000219,0.3733658266739332,0.3642141,0.009151734180875948,Low
12086000220,0.39842893142958385,0.38581964,0.012609287693698235,Moderate
12086000312,0.6458113780918744,0.5537189,0.09209245356947449,High
12086000302,0.609637861245773,0.61697346,-0.007335598474838556,Critical
12086000310,0.6496496482312454,0.62103486,0.028614787620283466,Critical
12086000306,0.37070771809955244,0.36318126,0.007526454891163159,Low
12086000307,0.4427310276797941,0.4315144,0.011216615515105999,Moderate
12086000308,0.34062916765227247,0.3604823,-0.01985313763604235,Low
12086000402,0.36976625031450483,0.3655228,0.004243448438436714,Low
12086000417,0.5993127855221749,0.5989175,0.0003953012387276633,Critical
12086000420,0.5908858142064377,0.6217611,-0.030875269396467564,Critical
12086000405,0.4454608753361552,0.41827217,0.027188707891926067,Moderate
12086000408,0.3688047474223225,0.3539104,0.014894360859975087,Low
12086000409,0.41078597548994444,0.38977438,0.021011593375534043,Moderate
12086000410,0.3752502105301074,0.3670647,0.00818549609834468,Low
12086000411,0.410356682536425,0.3995384,0.010818284747423523,Moderate
12086000416,0.5930162662785585,0.6039324,-0.010916114397711008,Critical
12086000413,0.36583568971439717,0.35243243,0.013403259923900346,Low
12086000414,0.3968771748181455,0.36946756,0.027409618341552477,Low
12086000507,0.5421786788995684,0.58465016,-0.042471479982572724,Critical
12086000508,0.600991982716082,0.545886,0.055106002586840064,High
12086000504,0.4118666000090373,0.398045,0.013821596594883245,Moderate
12086000505,0.44934810550437465,0.44725344,0.002094669654231218,High
12086000601,0.5555429858600966,0.498345,0.057197998229252534,High
12086000602,0.40603510979966584,0.4192271,-0.01319198365850982,Moderate
12086000603,0.4090926724571312,0.39597392,0.013118751634987658,Moderate
12086000612,0.6285038567761939,0.5990234,0.02948045503898078,Critical
12086000605,0.3681182148422053,0.37244558,-0.004327368501300555,Low
12086000607,0.42335480340161363,0.41497847,0.008376329023027818,Moderate
12086000610,0.6425518164536594,0.5904095,0.05214229916545143,Critical
12086000705,0.4154852577644018,0.43180203,-0.01631677661364994,Moderate
12086000714,0.6033356134875149,0.6348177,-0.03148210597201884,Critical
12086000715,0.6155248764259514,0.58326244,0.03226243288347097,Critical
12086000718,0.6050983031477198,0.60469085,0.00040745336668346344,Critical
12086000719,0.6093912984608142,0.56307375,0.04631754415020628,High
12086000710,0.42142499785523685,0.42322353,-0.001798527430483976,Moderate
12086000711,0.4238563124797931,0.4221877,0.0016686265133014078,Moderate
12086000712,0.37570507683839865,0.37819025,-0.002485172366236965,Moderate
12086000804,0.28184963620643044,0.29870418,-0.016854540934759132,Low
12086000805,0.4404500327764554,0.43351415,0.0069358847795529255,Moderate
12086000806,0.3695172964462573,0.3554696,0.01404768217890806,Low
12086000807,0.5085917972590466,0.4944373,0.014154490139677067,High
12086000808,0.4176198662708696,0.41642058,0.0011992873142656069,Moderate
12086000908,0.6315055163864882,0.59163386,0.03987166008994891,Critical
12086000904,0.6069202433951292,0.6195197,-0.012599467145642307,Critical
12086000903,0.2936380935081901,0.29534575,-0.0017076599231301004,Low
12086001007,0.5966177206531995,0.6180425,-0.021424807976103466,Critical
12086001003,0.34659681823629834,0.35277256,-0.00617574545960925,Low
12086001004,0.29343048678002653,0.27940702,0.014023462396481612,Low
12086001005,0.422241604794465,0.40751553,0.014726078976593893,Moderate
12086001006,0.41175172391126696,0.38762107,0.024130648996334714,Moderate
12086001101,0.3186044757771408,0.3510857,-0.03248121686697847,Low
12086001102,0.3397105201682802,0.37451023,-0.03479970846560043,Moderate
12086001103,0.4855671384428627,0.47607955,0.009487585077155303,High
12086001104,0.2804315008549667,0.28648365,-0.0060521445841812405,Low
12086001209,0.629885096349484,0.5677206,0.062164504327541836,High
12086001204,0.38423401218881015,0.36212897,0.022105039181608,Low
12086001205,0.3089862631194664,0.32514402,-0.016157759583704356,Low
12086001206,0.340319910422482,0.3848998,-0.04457988463290741,Moderate
12086001301,0.2531949960075108,0.25985157,-0.006656578890255338,Low
12086001302,0.2905482959755183,0.30694914,-0.016400842665839133,Low
12086001401,0.4071694153401424,0.36592492,0.041244490728097105,Low
12086001402,0.33245564407814365,0.2927514,0.039704242415317115,Low
12086001501,0.38169427325231114,0.37105265,0.010641620654883777,Low
12086001502,0.26492318128091225,0.2743175,-0.009394321694551622,Low
12086001607,0.5799691055799322,0.59074914,-0.010780038974205985,Critical
12086001603,0.32777431308721894,0.35252222,-0.024747911100632014,Low
12086001605,0.43307954125933856,0.4239064,0.009173155360748475,Moderate
12086001606,0.38561458216008665,0.38321936,0.0023952208548498333,Moderate
12086001701,0.3751215842732344,0.36631778,0.0088038054474745,Low
12086001702,0.3241764193029776,0.3198665,0.004309911057509441,Low
12086001705,0.5814458642477248,0.57205975,0.009386113690779019,High
12086001801,0.34887364340928667,0.35975125,-0.010877610910857982,Low
12086001802,0.27218679476174745,0.27917188,-0.006985089298158553,Low
12086001803,0.31967662639064304,0.34057876,-0.020902138286404692,Low
12086001901,0.3471826655136305,0.32432482,0.022857849048252665,Low
12086001903,0.384083044723418,0.3627966,0.021286440090086678,Low
12086001904,0.3422754806850666,0.35250503,-0.010229547562766672,Low
12086002001,0.36011590422184786,0.36861327,-0.008497368683501871,Low
12086002003,0.39063286490276133,0.36319453,0.027438339660909528,Low
12086002004,0.3486127699403561,0.34436044,0.004252328970888952,Low
12086002100,0.24673639141429052,0.29013464,-0.04339824713360682,Low
12086002201,0.3661698142804007,0.35507384,0.011095974854360036,Low
12086002202,0.39273206663027876,0.38939768,0.0033343858708488328,Moderate
12086002300,0.34836275829936103,0.3671127,-0.018749937871445854,Low
12086002402,0.3316165828233756,0.33019575,0.0014208280569113496,Low
12086002403,0.37489805004811577,0.3838764,-0.008978363058802563,Moderate
12086002404,0.34801771891873035,0.35702774,-0.009010020367692384,Low
